"typeResult","idGame","slugTeam","idTeam","pctEFGOpponent","pctTOVOpponent","pctOREBOpponent","teamName","cityTeam","minExact","rateFTA","rateFTAOpponent"
"team",22200300,"MIN",1610612750,0.654,0.068,0.2,"Timberwolves","Minnesota",240,0.5,0.297
"team",22200309,"NYK",1610612752,0.584,0.159,0.178,"Knicks","New York",240,0.219,0.241
"team",22200309,"DET",1610612765,0.646,0.137,0.409,"Pistons","Detroit",240,0.241,0.219
"team",22200310,"GSW",1610612744,0.544,0.129,0.246,"Warriors","Golden State",240,0.261,0.297
"team",22200310,"DAL",1610612742,0.54,0.17,0.234,"Mavericks","Dallas",240,0.297,0.261
"team",22200311,"POR",1610612757,0.534,0.13,0.358,"Trail Blazers","Portland",240,0.167,0.315
"team",22200311,"LAC",1610612746,0.561,0.112,0.28,"Clippers","LA",240,0.315,0.167
"team",22200322,"UTA",1610612762,0.452,0.107,0.407,"Jazz","Utah",240,0.346,0.387
"team",22200322,"LAC",1610612746,0.642,0.183,0.41,"Clippers","LA",240,0.387,0.346
"team",22200323,"SAC",1610612758,0.46,0.129,0.231,"Kings","Sacramento",240,0.305,0.3
"team",22200323,"IND",1610612754,0.589,0.157,0.271,"Pacers","Indiana",240,0.3,0.305
"team",22200314,"MIA",1610612748,0.687,0.18,0.316,"Heat","Miami",240,0.1,0.277
"team",22200314,"BOS",1610612738,0.622,0.15,0.279,"Celtics","Boston",240,0.277,0.1
"team",22200318,"TOR",1610612761,0.605,0.19,0.273,"Raptors","Toronto",240,0.216,0.302
"team",22200318,"NOP",1610612740,0.54,0.146,0.184,"Pelicans","New Orleans",240,0.302,0.216
"team",22200321,"PHX",1610612756,0.524,0.116,0.133,"Suns","Phoenix",240,0.226,0.402
"team",22200321,"CHI",1610612741,0.608,0.132,0.267,"Bulls","Chicago",240,0.402,0.226
"team",22200324,"POR",1610612757,0.567,0.077,0.308,"Trail Blazers","Portland",240,0.233,0.268
"team",22200324,"LAL",1610612747,0.511,0.121,0.275,"Lakers","Los Angeles",240,0.268,0.233
"team",22200320,"HOU",1610612745,0.633,0.125,0.275,"Rockets","Houston",240,0.205,0.241
"team",22200320,"DEN",1610612743,0.489,0.14,0.321,"Nuggets","Denver",240,0.241,0.205
"team",22200313,"ORL",1610612753,0.585,0.12,0.333,"Magic","Orlando",240,0.316,0.202
"team",22200313,"ATL",1610612737,0.544,0.176,0.163,"Hawks","Atlanta",240,0.202,0.316
"team",22200319,"SAS",1610612759,0.559,0.12,0.327,"Spurs","San Antonio",240,0.272,0.223
"team",22200319,"OKC",1610612760,0.5,0.109,0.286,"Thunder","Oklahoma City",240,0.223,0.272
"team",22200315,"WAS",1610612764,0.53,0.09,0.111,"Wizards","Washington",240,0.382,0.31
"team",22200315,"BKN",1610612751,0.472,0.135,0.37,"Nets","Brooklyn",240,0.31,0.382
"team",22200317,"MIN",1610612750,0.477,0.252,0.491,"Timberwolves","Minnesota",240,0.213,0.345
"team",22200317,"MEM",1610612763,0.528,0.123,0.2,"Grizzlies","Memphis",240,0.345,0.213
"team",22200312,"PHI",1610612755,0.709,0.208,0.233,"76ers","Philadelphia",240,0.234,0.135
"team",22200312,"CLE",1610612739,0.455,0.17,0.217,"Cavaliers","Cleveland",240,0.135,0.234
"team",22200316,"NYK",1610612752,0.489,0.064,0.283,"Knicks","New York",240,0.2,0.289
"team",22200316,"MIL",1610612749,0.45,0.082,0.371,"Bucks","Milwaukee",240,0.289,0.2
"team",22200325,"DET",1610612765,0.645,0.121,0.128,"Pistons","Detroit",265,0.255,0.337
"team",22200325,"DAL",1610612742,0.622,0.124,0.348,"Mavericks","Dallas",265,0.337,0.255
"team",22200328,"MIA",1610612748,0.546,0.178,0.196,"Heat","Miami",265,0.178,0.322
"team",22200328,"BOS",1610612738,0.53,0.149,0.263,"Celtics","Boston",265,0.322,0.178
"team",22200326,"WAS",1610612764,0.484,0.043,0.356,"Wizards","Washington",240,0.407,0.326
"team",22200326,"CHA",1610612766,0.523,0.144,0.46,"Hornets","Charlotte",240,0.326,0.407
"team",22200330,"ORL",1610612753,0.583,0.135,0.233,"Magic","Orlando",240,0.148,0.107
"team",22200330,"CLE",1610612739,0.543,0.193,0.302,"Cavaliers","Cleveland",240,0.107,0.148
"team",22200329,"TOR",1610612761,0.604,0.175,0.238,"Raptors","Toronto",240,0.345,0.268
"team",22200329,"BKN",1610612751,0.477,0.136,0.264,"Nets","Brooklyn",240,0.268,0.345
"team",22200333,"SAS",1610612759,0.5,0.088,0.189,"Spurs","San Antonio",240,0.163,0.283
"team",22200333,"NOP",1610612740,0.444,0.112,0.258,"Pelicans","New Orleans",240,0.283,0.163
"team",22200334,"PHX",1610612756,0.543,0.164,0.37,"Suns","Phoenix",240,0.224,0.531
"team",22200334,"HOU",1610612745,0.629,0.176,0.31,"Rockets","Houston",240,0.531,0.224
"team",22200332,"PHI",1610612755,0.49,0.117,0.379,"76ers","Philadelphia",240,0.187,0.289
"team",22200332,"MEM",1610612763,0.516,0.128,0.25,"Grizzlies","Memphis",240,0.289,0.187
"team",22200336,"GSW",1610612744,0.511,0.11,0.145,"Warriors","Golden State",240,0.264,0.258
"team",22200336,"CHI",1610612741,0.598,0.182,0.22,"Bulls","Chicago",240,0.258,0.264
"team",22200327,"DEN",1610612743,0.614,0.127,0.325,"Nuggets","Denver",240,0.153,0.159
"team",22200327,"ATL",1610612737,0.6,0.164,0.267,"Hawks","Atlanta",240,0.159,0.153
"team",22200331,"MIL",1610612749,0.599,0.041,0.298,"Bucks","Milwaukee",240,0.16,0.25
"team",22200331,"LAL",1610612747,0.622,0.099,0.255,"Lakers","Los Angeles",240,0.25,0.16
"team",22200335,"UTA",1610612762,0.5,0.163,0.228,"Jazz","Utah",240,0.446,0.359
"team",22200335,"IND",1610612754,0.645,0.222,0.293,"Pacers","Indiana",240,0.359,0.446
"team",22200337,"NYK",1610612752,0.55,0.107,0.288,"Knicks","New York",240,0.364,0.14
"team",22200337,"DAL",1610612742,0.519,0.195,0.191,"Mavericks","Dallas",240,0.14,0.364
