"typeResult","idGame","slugTeam","idTeam","pctAST","pctOREB","pctDREB","pctTREB","pctTOVE","pctTOVTeam","pctEFG","pctTS","pctUSG","pctUSGE","teamName","cityTeam","minExact","ortgE","ortg","drtgE","drtg","netrtgE","netrtg","ratioASTtoTOV","ratioAST","paceE","pace","pacePer40PACE_PER40","possessions","ratioPIE"
"team",22200347,"DET",1610612765,0.703,0.26,0.686,0.475,14.395,14.6,0.518,0.576,1,0.2,"Pistons","Detroit",240,107.5,108.7,114.3,119.6,-6.8,-10.9,1.73,18.8,105.48,102.5,85.42,103,0.458
"team",22200345,"SAS",1610612759,0.5,0.32,0.646,0.48,18.642,19.2,0.471,0.5,1,0.198,"Spurs","San Antonio",240,93.2,96,133.3,134.3,-40.1,-38.4,1,14.3,100.86,99,82.5,99,0.297
"team",22200345,"PHX",1610612756,0.776,0.354,0.68,0.52,11.022,11.1,0.622,0.647,1,0.199,"Suns","Phoenix",240,133.3,134.3,93.2,96,40.1,38.4,3.45,25,100.86,99,82.5,99,0.703
"team",22200349,"WAS",1610612764,0.49,0.259,0.75,0.481,9.042,9.3,0.514,0.533,1,0.197,"Wizards","Washington",240,107.6,110.2,116.4,121.5,-8.8,-11.3,2.4,16.5,111.14,107.5,89.58,108,0.424
"team",22200349,"LAL",1610612747,0.654,0.25,0.741,0.519,13.431,14,0.594,0.615,1,0.196,"Lakers","Los Angeles",240,116.4,121.5,107.6,110.2,8.8,11.3,2.27,22,111.14,107.5,89.58,107,0.576
"team",22200351,"POR",1610612757,0.762,0.298,0.731,0.525,15.048,15.2,0.587,0.606,1,0.199,"Trail Blazers","Portland",240,116.4,117.2,100.7,102,15.6,15.1,2.13,22.4,99.48,98.5,82.08,99,0.584
"team",22200351,"IND",1610612754,0.55,0.269,0.702,0.475,15.109,15.3,0.495,0.519,1,0.199,"Pacers","Indiana",240,100.7,102,116.4,117.2,-15.6,-15.1,1.47,16.5,99.48,98.5,82.08,98,0.416
"team",22200344,"NOP",1610612740,0.707,0.152,0.721,0.427,10.801,10.9,0.574,0.625,1,0.193,"Pelicans","New Orleans",240,118.8,119.8,104.4,106,14.4,13.8,2.64,21.2,101.7,100.5,83.75,101,0.568
"team",22200344,"DEN",1610612743,0.585,0.279,0.848,0.573,18.708,19,0.556,0.579,1,0.201,"Nuggets","Denver",240,104.4,106,118.8,119.8,-14.4,-13.8,1.26,17.8,101.7,100.5,83.75,100,0.432
"team",22200350,"SAC",1610612758,0.75,0.234,0.84,0.546,17.534,18.4,0.541,0.583,1,0.196,"Kings","Sacramento",240,101.5,106.8,97.7,98.1,3.8,8.7,1.58,20.9,105.86,103,85.83,103,0.574
